# file...... ./glm_output/meter_16.csv
# date...... Wed Mar  8 16:08:39 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,trip_node_meter_375:measured_real_power,trip_node_meter_376:measured_real_power,trip_node_meter_377:measured_real_power,trip_node_meter_378:measured_real_power,trip_node_meter_379:measured_real_power,trip_node_meter_380:measured_real_power,trip_node_meter_381:measured_real_power,trip_node_meter_382:measured_real_power,trip_node_meter_383:measured_real_power,trip_node_meter_384:measured_real_power,trip_node_meter_385:measured_real_power,trip_node_meter_386:measured_real_power,trip_node_meter_387:measured_real_power,trip_node_meter_388:measured_real_power,trip_node_meter_389:measured_real_power,trip_node_meter_390:measured_real_power,trip_node_meter_391:measured_real_power,trip_node_meter_392:measured_real_power,trip_node_meter_393:measured_real_power,trip_node_meter_394:measured_real_power,trip_node_meter_395:measured_real_power,trip_node_meter_396:measured_real_power,trip_node_meter_397:measured_real_power,trip_node_meter_398:measured_real_power,trip_node_meter_399:measured_real_power
2021-12-25 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:01:00 UTC,+0,+0,+0,+4482.73,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4480.29,+0,+0,+4480.29
2021-12-25 00:02:00 UTC,+0,+0,+0,+4482.45,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4477.57,+0,+4477.57,+4477.57
2021-12-25 00:03:00 UTC,+0,+0,+0,+4485.38,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4480.49,+0,+4480.49,+4480.49
2021-12-25 00:04:00 UTC,+0,+0,+0,+4486.49,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4481.6,+0,+4481.6,+4481.6
2021-12-25 00:05:00 UTC,+0,+0,+0,+4478.68,+0,+0,+0,+4478.68,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4476.24,+0,+4476.24,+4476.24
2021-12-25 00:06:00 UTC,+0,+0,+0,+4478.77,+0,+0,+0,+4478.77,+0,+0,+0,+0,+0,+0,+4481.2,+0,+0,+0,+0,+0,+0,+4476.33,+0,+4476.33,+4476.33
2021-12-25 00:07:00 UTC,+0,+0,+0,+4481.62,+0,+0,+0,+4481.62,+0,+0,+0,+0,+0,+0,+4484.06,+0,+0,+0,+0,+0,+0,+4479.17,+0,+4479.17,+4479.17
2021-12-25 00:08:00 UTC,+0,+0,+0,+4485.23,+0,+0,+0,+4485.23,+0,+0,+0,+0,+0,+0,+4487.68,+0,+0,+0,+0,+0,+0,+0,+0,+4487.68,+0
2021-12-25 00:09:00 UTC,+0,+0,+0,+4489.31,+0,+0,+0,+4489.31,+0,+0,+0,+0,+0,+0,+4491.75,+0,+0,+0,+0,+0,+0,+0,+0,+4491.75,+0
