# file...... ./glm_output/meter_32.csv
# date...... Wed Mar  8 16:08:39 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,trip_node_meter_775:measured_real_power,trip_node_meter_776:measured_real_power,trip_node_meter_777:measured_real_power,trip_node_meter_778:measured_real_power,trip_node_meter_779:measured_real_power,trip_node_meter_780:measured_real_power,trip_node_meter_781:measured_real_power,trip_node_meter_782:measured_real_power,trip_node_meter_783:measured_real_power,trip_node_meter_784:measured_real_power,trip_node_meter_785:measured_real_power,trip_node_meter_786:measured_real_power,trip_node_meter_787:measured_real_power,trip_node_meter_788:measured_real_power,trip_node_meter_789:measured_real_power,trip_node_meter_790:measured_real_power,trip_node_meter_791:measured_real_power,trip_node_meter_792:measured_real_power,trip_node_meter_793:measured_real_power,trip_node_meter_794:measured_real_power,trip_node_meter_795:measured_real_power,trip_node_meter_796:measured_real_power,trip_node_meter_797:measured_real_power,trip_node_meter_798:measured_real_power,trip_node_meter_799:measured_real_power
2021-12-25 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:02:00 UTC,+0,+0,+0,+0,+0,+0,+4514.11,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:03:00 UTC,+0,+0,+0,+0,+0,+0,+4516.38,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:04:00 UTC,+0,+0,+0,+0,+0,+0,+4514.93,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:05:00 UTC,+0,+0,+0,+0,+0,+0,+4523.76,+0,+0,+0,+0,+0,+4523.76,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:06:00 UTC,+0,+0,+0,+0,+0,+0,+4521.72,+0,+0,+0,+0,+0,+4521.72,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:07:00 UTC,+0,+0,+0,+0,+0,+0,+4515.07,+0,+0,+0,+0,+0,+4515.07,+0,+0,+0,+0,+4515.07,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:08:00 UTC,+0,+0,+0,+0,+0,+0,+4515.08,+0,+0,+0,+0,+0,+4515.08,+0,+0,+0,+0,+4515.08,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:09:00 UTC,+0,+0,+0,+0,+0,+0,+4506.53,+0,+0,+0,+0,+0,+4506.53,+0,+0,+0,+0,+4506.53,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:10:00 UTC,+0,+0,+0,+0,+0,+0,+4498.13,+0,+0,+0,+0,+0,+4498.13,+0,+0,+0,+0,+4498.13,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:11:00 UTC,+0,+0,+0,+0,+0,+4498.82,+4498.82,+0,+0,+0,+0,+0,+4498.82,+0,+4498.82,+0,+0,+4501.27,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:12:00 UTC,+0,+0,+0,+0,+0,+4495.32,+4495.32,+0,+0,+0,+0,+4490.42,+4490.42,+0,+4490.42,+0,+4490.42,+4495.32,+0,+0,+0,+0,+0,+0,+4495.32
2021-12-25 00:13:00 UTC,+0,+0,+0,+0,+0,+4496.79,+4496.79,+0,+0,+0,+0,+4491.88,+4491.88,+0,+4491.88,+0,+4491.88,+4496.79,+0,+0,+0,+0,+0,+0,+4496.79
2021-12-25 00:14:00 UTC,+0,+0,+0,+0,+0,+4481.18,+4481.18,+0,+4481.18,+0,+0,+4481.18,+0,+0,+4481.18,+0,+4481.18,+4483.63,+0,+0,+0,+0,+0,+0,+4483.63
2021-12-25 00:15:00 UTC,+0,+0,+0,+0,+4477.18,+4477.18,+4477.18,+0,+4477.18,+0,+0,+4479.63,+0,+0,+4479.63,+0,+4479.63,+4482.07,+0,+0,+0,+0,+0,+0,+4482.07
2021-12-25 00:16:00 UTC,+0,+0,+0,+0,+4479.45,+0,+0,+0,+4479.45,+0,+0,+4477.01,+0,+0,+4477.01,+0,+4477.01,+4479.45,+0,+0,+0,+0,+0,+0,+4479.45
2021-12-25 00:17:00 UTC,+0,+0,+0,+0,+4474.93,+0,+0,+0,+4474.93,+0,+0,+4472.49,+0,+0,+4472.49,+0,+4472.49,+4474.93,+0,+0,+0,+0,+0,+0,+4474.93
2021-12-25 00:18:00 UTC,+0,+0,+0,+0,+4478.72,+0,+0,+0,+4478.72,+0,+0,+4476.28,+0,+0,+4476.28,+0,+4476.28,+0,+0,+0,+0,+0,+0,+0,+4481.16
2021-12-25 00:19:00 UTC,+0,+0,+0,+0,+4488.07,+0,+0,+0,+4488.07,+0,+0,+4485.62,+0,+0,+4485.62,+0,+4485.62,+0,+0,+0,+0,+0,+0,+0,+4490.51
2021-12-25 00:20:00 UTC,+0,+0,+0,+0,+4494.7,+0,+0,+0,+4494.7,+0,+0,+4492.25,+0,+0,+4492.25,+0,+4492.25,+0,+0,+0,+0,+0,+0,+0,+4497.14
2021-12-25 00:21:00 UTC,+0,+0,+0,+0,+4494.91,+0,+0,+0,+4494.91,+0,+0,+4492.46,+0,+0,+4492.46,+0,+4492.46,+0,+0,+0,+0,+0,+0,+0,+4497.35
2021-12-25 00:22:00 UTC,+0,+0,+0,+0,+4478.84,+0,+0,+0,+4478.84,+0,+0,+4476.4,+0,+0,+4476.4,+0,+4476.4,+0,+0,+0,+0,+0,+0,+0,+4481.27
2021-12-25 00:23:00 UTC,+0,+0,+0,+4473.85,+4473.85,+0,+0,+0,+4473.85,+0,+0,+4471.41,+4471.41,+0,+4471.41,+0,+4471.41,+0,+0,+0,+0,+0,+0,+0,+4478.72
2021-12-25 00:24:00 UTC,+0,+0,+0,+4479.6,+0,+0,+0,+0,+4479.6,+0,+0,+4477.16,+4477.16,+0,+0,+0,+4477.16,+0,+0,+0,+0,+0,+0,+0,+4482.04
2021-12-25 00:25:00 UTC,+0,+0,+0,+4495.52,+0,+0,+0,+0,+4495.52,+0,+0,+0,+4497.97,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:26:00 UTC,+0,+0,+0,+4499.39,+0,+0,+0,+0,+4499.39,+0,+0,+0,+4501.84,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:27:00 UTC,+0,+0,+0,+4490.38,+0,+0,+0,+0,+4490.38,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:28:00 UTC,+0,+0,+0,+4490.16,+0,+0,+0,+0,+4490.16,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:29:00 UTC,+0,+0,+0,+4489.13,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4486.68,+0,+0,+0,+4486.68
2021-12-25 00:30:00 UTC,+0,+0,+0,+4492.66,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4487.77,+0,+0,+4487.77,+0,+0,+0,+4487.77
2021-12-25 00:31:00 UTC,+4486.12,+0,+0,+4488.56,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4488.56,+0,+0,+4483.67,+0,+0,+4483.67,+0,+0,+0,+4483.67
2021-12-25 00:32:00 UTC,+4482.95,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4485.39,+0,+0,+4480.5,+0,+0,+4480.5,+0,+0,+0,+4480.5
2021-12-25 00:33:00 UTC,+4495.1,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4497.55,+0,+0,+4492.65,+0,+0,+4492.65,+0,+0,+0,+4492.65
2021-12-25 00:34:00 UTC,+4495.85,+4498.3,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4495.85,+0,+0,+4495.85,+0,+0,+4493.4,+0,+0,+4493.4,+0,+0,+0,+4493.4
2021-12-25 00:35:00 UTC,+4493.38,+4495.83,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4493.38,+0,+0,+4493.38,+0,+0,+4490.93,+0,+0,+4490.93,+0,+0,+0,+4490.93
2021-12-25 00:36:00 UTC,+4496.44,+4498.89,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4496.44,+0,+0,+4496.44,+0,+0,+4498.89,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:37:00 UTC,+4494.64,+4497.09,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4494.64,+0,+0,+4494.64,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4497.09
2021-12-25 00:38:00 UTC,+4488.02,+4490.47,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4488.02,+0,+0,+4488.02,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4490.47
2021-12-25 00:39:00 UTC,+4495.21,+0,+0,+0,+0,+0,+0,+0,+4495.21,+0,+0,+4492.77,+0,+0,+4492.77,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4495.21
2021-12-25 00:40:00 UTC,+4481.83,+0,+0,+0,+0,+0,+0,+0,+4481.83,+0,+0,+4479.39,+0,+0,+4479.39,+0,+0,+0,+0,+0,+0,+0,+4479.39,+0,+4479.39
2021-12-25 00:41:00 UTC,+4484.93,+0,+0,+0,+0,+0,+0,+0,+4484.93,+0,+0,+4482.49,+0,+0,+4482.49,+0,+0,+0,+0,+0,+0,+0,+4482.49,+0,+4482.49
2021-12-25 00:42:00 UTC,+4485.3,+0,+0,+0,+0,+0,+0,+0,+4485.3,+0,+0,+4482.85,+0,+0,+4482.85,+0,+0,+0,+0,+0,+0,+0,+4482.85,+0,+4482.85
2021-12-25 00:43:00 UTC,+4468.14,+0,+0,+0,+0,+0,+0,+0,+4470.57,+0,+0,+4468.14,+0,+0,+4468.14,+0,+0,+0,+0,+0,+0,+0,+4468.14,+0,+4468.14
2021-12-25 00:44:00 UTC,+4468.09,+0,+0,+0,+0,+0,+0,+0,+4470.52,+0,+0,+4468.09,+0,+0,+4468.09,+0,+0,+0,+0,+0,+0,+0,+4468.09,+0,+4468.09
2021-12-25 00:45:00 UTC,+4468.29,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4468.29,+0,+0,+4468.29,+0,+0,+0,+4468.29,+0,+0,+0,+4468.29,+0,+0
2021-12-25 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4472.53,+0,+0,+4472.53,+0,+0,+0,+4470.1,+0,+0,+0,+4470.1,+4470.1,+0
2021-12-25 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4474.65,+0,+0,+4474.65,+0,+0,+0,+4472.21,+0,+0,+0,+4472.21,+4472.21,+0
2021-12-25 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4477.42,+0,+0,+4477.42,+0,+0,+0,+4474.98,+0,+0,+0,+4474.98,+4474.98,+0
2021-12-25 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4487.16,+0,+0,+4487.16,+0,+0,+0,+4484.71,+0,+0,+0,+4484.71,+4484.71,+0
2021-12-25 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4478.2,+4478.2,+0,+0,+4478.2,+0,+0,+0,+4478.2,+0,+0,+0,+4478.2,+4478.2,+0
2021-12-25 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4487.57,+0,+0,+0,+4487.57,+0,+0,+0,+4485.13,+0,+0,+0,+4485.13,+4485.13,+0
2021-12-25 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4473.59,+0,+0,+0,+4473.59,+0,+0,+0,+4471.15,+0,+0,+0,+4471.15,+4471.15,+0
2021-12-25 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4462.55,+4462.55,+0,+0,+0,+4462.55,+0,+0,+0,+4462.55,+0,+0,+0,+4462.55,+4462.55,+0
2021-12-25 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4455.8,+4455.8,+0,+0,+0,+4455.8,+0,+0,+0,+4455.8,+0,+0,+0,+4455.8,+4455.8,+0
