# file...... ./glm_output/meter_31.csv
# date...... Wed Mar  8 16:08:39 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,trip_node_meter_750:measured_real_power,trip_node_meter_751:measured_real_power,trip_node_meter_752:measured_real_power,trip_node_meter_753:measured_real_power,trip_node_meter_754:measured_real_power,trip_node_meter_755:measured_real_power,trip_node_meter_756:measured_real_power,trip_node_meter_757:measured_real_power,trip_node_meter_758:measured_real_power,trip_node_meter_759:measured_real_power,trip_node_meter_760:measured_real_power,trip_node_meter_761:measured_real_power,trip_node_meter_762:measured_real_power,trip_node_meter_763:measured_real_power,trip_node_meter_764:measured_real_power,trip_node_meter_765:measured_real_power,trip_node_meter_766:measured_real_power,trip_node_meter_767:measured_real_power,trip_node_meter_768:measured_real_power,trip_node_meter_769:measured_real_power,trip_node_meter_770:measured_real_power,trip_node_meter_771:measured_real_power,trip_node_meter_772:measured_real_power,trip_node_meter_773:measured_real_power,trip_node_meter_774:measured_real_power
2021-12-25 00:00:00 UTC,+0,+0,+0,+4485.84,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4498.83,+0,+0,+0,+0,+0
2021-12-25 00:01:00 UTC,+0,+0,+0,+4474.42,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4513.58,+0,+0,+0,+0,+0
2021-12-25 00:02:00 UTC,+0,+0,+0,+4474.89,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4514.11,+0,+0,+0,+0,+0
2021-12-25 00:03:00 UTC,+0,+0,+0,+4477.82,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4516.38,+0,+0,+0,+0,+0
2021-12-25 00:04:00 UTC,+0,+0,+0,+4475.05,+0,+0,+0,+0,+4475.05,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4514.93,+0,+0,+0,+0,+0
2021-12-25 00:05:00 UTC,+0,+0,+0,+4463.73,+0,+4463.73,+0,+0,+4463.73,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4523.76,+0,+0,+0,+0,+0
2021-12-25 00:06:00 UTC,+0,+0,+0,+4463.43,+0,+4463.43,+0,+4463.43,+4463.43,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4519.26,+0,+0,+0,+4519.26,+0
2021-12-25 00:07:00 UTC,+0,+0,+0,+4467.68,+0,+4467.68,+0,+4467.68,+4467.68,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4515.07,+0
2021-12-25 00:08:00 UTC,+0,+0,+0,+4474.92,+0,+4474.92,+0,+4474.92,+4474.92,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4515.08,+0
2021-12-25 00:09:00 UTC,+0,+0,+0,+4481.33,+0,+4481.33,+0,+4481.33,+4481.33,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4506.53,+0
2021-12-25 00:10:00 UTC,+0,+0,+0,+4479.88,+0,+4479.88,+0,+4479.88,+4479.88,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4498.13,+0
2021-12-25 00:11:00 UTC,+0,+0,+0,+0,+0,+4467.83,+0,+4467.83,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4501.27,+0
