# file...... ./glm_output/meter_13.csv
# date...... Wed Mar  8 16:08:39 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,trip_node_meter_300:measured_real_power,trip_node_meter_301:measured_real_power,trip_node_meter_302:measured_real_power,trip_node_meter_303:measured_real_power,trip_node_meter_304:measured_real_power,trip_node_meter_305:measured_real_power,trip_node_meter_306:measured_real_power,trip_node_meter_307:measured_real_power,trip_node_meter_308:measured_real_power,trip_node_meter_309:measured_real_power,trip_node_meter_310:measured_real_power,trip_node_meter_311:measured_real_power,trip_node_meter_312:measured_real_power,trip_node_meter_313:measured_real_power,trip_node_meter_314:measured_real_power,trip_node_meter_315:measured_real_power,trip_node_meter_316:measured_real_power,trip_node_meter_317:measured_real_power,trip_node_meter_318:measured_real_power,trip_node_meter_319:measured_real_power,trip_node_meter_320:measured_real_power,trip_node_meter_321:measured_real_power,trip_node_meter_322:measured_real_power,trip_node_meter_323:measured_real_power,trip_node_meter_324:measured_real_power
2021-12-25 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4495.67,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4506.43,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:02:00 UTC,+0,+0,+0,+0,+0,+4503.94,+0,+0,+0,+0,+0,+4503.94,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:03:00 UTC,+0,+0,+0,+0,+0,+4500.87,+0,+0,+0,+0,+0,+4500.87,+0,+0,+4503.32,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:04:00 UTC,+0,+0,+0,+0,+0,+4499.96,+0,+0,+0,+0,+0,+4499.96,+0,+0,+4502.41,+0,+0,+0,+0,+0,+4458.67,+0,+0,+0,+0
2021-12-25 00:05:00 UTC,+0,+0,+0,+4504.71,+0,+4504.71,+0,+0,+0,+0,+0,+4504.71,+0,+0,+4507.17,+0,+0,+0,+0,+0,+4454.69,+0,+0,+0,+0
2021-12-25 00:06:00 UTC,+0,+0,+0,+4502,+0,+4502,+0,+0,+0,+0,+0,+4502,+4502,+0,+4502,+0,+0,+0,+0,+0,+4451.55,+0,+0,+0,+0
2021-12-25 00:07:00 UTC,+0,+0,+0,+4493.86,+0,+4493.86,+0,+0,+0,+0,+0,+4493.86,+4493.86,+0,+4493.86,+0,+0,+0,+0,+0,+4451.45,+0,+0,+0,+0
2021-12-25 00:08:00 UTC,+0,+0,+0,+4493.06,+0,+4493.06,+0,+0,+0,+0,+0,+4493.06,+4493.06,+0,+4493.06,+0,+0,+0,+0,+0,+4446.67,+0,+0,+0,+0
2021-12-25 00:09:00 UTC,+0,+0,+0,+4485.14,+0,+4485.14,+0,+0,+0,+0,+0,+4485.14,+4485.14,+0,+4485.14,+0,+0,+0,+0,+0,+4446.81,+0,+0,+0,+0
