# file...... ./glm_output/meter_7.csv
# date...... Wed Mar  8 16:08:39 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,trip_node_meter_150:measured_real_power,trip_node_meter_151:measured_real_power,trip_node_meter_152:measured_real_power,trip_node_meter_153:measured_real_power,trip_node_meter_154:measured_real_power,trip_node_meter_155:measured_real_power,trip_node_meter_156:measured_real_power,trip_node_meter_157:measured_real_power,trip_node_meter_158:measured_real_power,trip_node_meter_159:measured_real_power,trip_node_meter_160:measured_real_power,trip_node_meter_161:measured_real_power,trip_node_meter_162:measured_real_power,trip_node_meter_163:measured_real_power,trip_node_meter_164:measured_real_power,trip_node_meter_165:measured_real_power,trip_node_meter_166:measured_real_power,trip_node_meter_167:measured_real_power,trip_node_meter_168:measured_real_power,trip_node_meter_169:measured_real_power,trip_node_meter_170:measured_real_power,trip_node_meter_171:measured_real_power,trip_node_meter_172:measured_real_power,trip_node_meter_173:measured_real_power,trip_node_meter_174:measured_real_power
2021-12-25 00:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:01:00 UTC,+4469.79,+4469.79,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:02:00 UTC,+4469.59,+4469.59,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:03:00 UTC,+4470.07,+4470.07,+0,+4472.51,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:04:00 UTC,+4469.22,+4469.22,+0,+4471.65,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 00:05:00 UTC,+4459.29,+4459.29,+0,+4461.71,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4503.06,+0,+0,+0
2021-12-25 00:06:00 UTC,+4460.77,+4460.77,+0,+4460.77,+0,+4460.77,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4497.81,+0,+0,+4497.81
2021-12-25 00:07:00 UTC,+4464.86,+4464.86,+0,+4464.86,+0,+4464.86,+0,+0,+0,+0,+0,+0,+0,+4491.76,+0,+0,+0,+0,+0,+0,+0,+4486.87,+4486.87,+0,+4486.87
2021-12-25 00:08:00 UTC,+4473.05,+4473.05,+0,+4473.05,+0,+4473.05,+0,+0,+0,+0,+0,+0,+0,+4490.85,+0,+0,+0,+0,+0,+0,+0,+4485.96,+4485.96,+0,+4485.96
2021-12-25 00:09:00 UTC,+4477.21,+4477.21,+0,+4479.65,+0,+4479.65,+0,+0,+0,+0,+0,+0,+0,+4482.3,+0,+0,+0,+0,+0,+0,+0,+4477.42,+4477.42,+0,+4477.42
2021-12-25 00:10:00 UTC,+4478.41,+0,+0,+4478.41,+0,+4478.41,+0,+0,+0,+0,+0,+0,+0,+4475.33,+0,+0,+0,+0,+0,+0,+0,+4470.46,+4470.46,+0,+4470.46
2021-12-25 00:11:00 UTC,+4460.93,+0,+0,+4460.93,+0,+4460.93,+0,+0,+0,+0,+0,+0,+0,+4478.53,+0,+0,+0,+0,+0,+0,+0,+4473.65,+4473.65,+0,+4473.65
2021-12-25 00:12:00 UTC,+4465.09,+0,+0,+4465.09,+0,+4465.09,+0,+0,+0,+0,+0,+0,+0,+4480.13,+0,+0,+0,+0,+0,+0,+0,+4475.26,+4475.26,+0,+4475.26
2021-12-25 00:13:00 UTC,+4467.06,+0,+0,+4469.5,+0,+4469.5,+0,+0,+0,+0,+0,+0,+0,+4481.28,+0,+0,+0,+0,+0,+0,+0,+4476.4,+4476.4,+0,+4476.4
2021-12-25 00:14:00 UTC,+0,+0,+0,+4473.93,+0,+4473.93,+0,+0,+0,+0,+0,+0,+0,+4472.55,+0,+0,+4472.55,+0,+0,+0,+0,+4470.12,+4470.12,+0,+4470.12
2021-12-25 00:15:00 UTC,+0,+0,+0,+4476.23,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4465.28,+0,+4465.28,+4465.28,+0,+0,+4465.28,+0,+4465.28,+4465.28,+0,+0
2021-12-25 00:16:00 UTC,+0,+0,+0,+0,+0,+4482.69,+0,+0,+0,+0,+0,+0,+0,+4465.77,+0,+4465.77,+4465.77,+0,+0,+4465.77,+0,+4465.77,+4465.77,+0,+0
2021-12-25 00:17:00 UTC,+0,+0,+0,+0,+0,+4475.45,+0,+0,+0,+0,+0,+0,+0,+4461.89,+0,+4461.89,+4461.89,+0,+0,+4461.89,+0,+4461.89,+4461.89,+0,+0
2021-12-25 00:18:00 UTC,+0,+0,+0,+0,+0,+4476.8,+0,+0,+0,+0,+0,+0,+0,+4466.85,+0,+4466.85,+4466.85,+0,+0,+4471.72,+0,+0,+0,+0,+0
2021-12-25 00:19:00 UTC,+0,+0,+0,+0,+0,+4465.24,+0,+0,+0,+0,+0,+0,+0,+4472.54,+0,+4472.54,+4472.54,+0,+0,+4477.42,+0,+0,+0,+0,+0
2021-12-25 00:20:00 UTC,+0,+0,+0,+0,+0,+4453.87,+0,+0,+0,+0,+0,+4472.95,+0,+4472.95,+0,+4472.95,+4472.95,+0,+0,+4480.27,+0,+0,+0,+0,+0
2021-12-25 00:21:00 UTC,+0,+0,+0,+0,+0,+4455.46,+0,+0,+0,+0,+0,+4472.22,+0,+4472.22,+0,+4472.22,+4472.22,+0,+0,+4479.53,+0,+0,+0,+0,+0
2021-12-25 00:22:00 UTC,+0,+0,+0,+0,+0,+4472.86,+0,+0,+0,+0,+0,+4469.53,+0,+4469.53,+0,+0,+4469.53,+0,+0,+4474.4,+0,+0,+0,+0,+0
2021-12-25 00:23:00 UTC,+0,+0,+0,+0,+0,+4473.14,+0,+0,+0,+0,+0,+4471.01,+0,+4471.01,+0,+0,+0,+0,+0,+4471.01,+0,+4471.01,+0,+0,+0
2021-12-25 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4472.62,+0,+4472.62,+0,+0,+0,+0,+0,+4472.62,+0,+4472.62,+0,+0,+0
2021-12-25 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4484.67,+0,+0,+0,+0,+0,+4488.53,+0,+0,+0,+0,+0,+4486.09,+0,+4486.09,+0,+0,+0
2021-12-25 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4480.44,+0,+0,+0,+0,+0,+4488.07,+0,+0,+0,+0,+0,+4485.63,+0,+4485.63,+0,+0,+0
2021-12-25 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4487.26,+0,+0,+0,+0,+0,+4479.91,+0,+0,+0,+0,+0,+4477.47,+0,+4477.47,+0,+0,+0
2021-12-25 00:28:00 UTC,+0,+4485.18,+0,+0,+0,+0,+0,+4490.07,+0,+0,+0,+0,+0,+4480.46,+0,+0,+0,+0,+0,+4478.03,+0,+4478.03,+0,+0,+0
2021-12-25 00:29:00 UTC,+0,+4474.91,+0,+0,+0,+0,+4479.79,+4479.79,+0,+0,+0,+0,+0,+4475,+0,+0,+0,+0,+0,+4472.56,+0,+4472.56,+0,+0,+0
2021-12-25 00:30:00 UTC,+0,+4463.77,+0,+0,+0,+0,+4468.64,+4468.64,+0,+0,+0,+0,+0,+4475.32,+0,+0,+0,+0,+0,+4472.88,+0,+4472.88,+0,+0,+0
2021-12-25 00:31:00 UTC,+0,+4458.3,+0,+0,+0,+0,+4463.17,+4463.17,+0,+0,+0,+0,+0,+4472.33,+0,+0,+0,+0,+0,+0,+0,+4472.33,+0,+0,+0
2021-12-25 00:32:00 UTC,+4450.42,+4450.42,+0,+0,+0,+0,+4457.71,+4457.71,+0,+0,+0,+0,+0,+4466.64,+4466.64,+0,+0,+0,+0,+0,+0,+4469.07,+0,+0,+0
2021-12-25 00:33:00 UTC,+4443.48,+4443.48,+0,+0,+0,+0,+4450.75,+4450.75,+0,+0,+0,+0,+0,+4470.11,+4470.11,+0,+4470.11,+0,+0,+0,+0,+0,+4474.98,+0,+0
2021-12-25 00:34:00 UTC,+4449.27,+4449.27,+0,+0,+0,+0,+4456.56,+4456.56,+0,+0,+0,+0,+0,+4473.43,+4473.43,+0,+4473.43,+0,+0,+0,+0,+0,+4478.3,+0,+0
2021-12-25 00:35:00 UTC,+4452.12,+4452.12,+0,+0,+0,+0,+4459.41,+4459.41,+0,+0,+0,+0,+0,+0,+4476.55,+0,+4476.55,+0,+0,+0,+0,+0,+4478.99,+0,+0
2021-12-25 00:36:00 UTC,+4459.91,+4459.91,+4464.78,+0,+0,+0,+4464.78,+4464.78,+0,+0,+0,+0,+0,+0,+4483.39,+0,+0,+0,+0,+0,+0,+0,+4483.39,+0,+0
2021-12-25 00:37:00 UTC,+4463.32,+4463.32,+4468.2,+0,+0,+0,+4468.2,+4468.2,+0,+0,+0,+0,+0,+0,+4483.05,+0,+0,+0,+0,+0,+0,+0,+4480.61,+4480.61,+0
2021-12-25 00:38:00 UTC,+4473.64,+4473.64,+4476.08,+0,+0,+0,+4476.08,+4476.08,+0,+0,+0,+0,+0,+0,+4478.85,+0,+0,+0,+0,+0,+0,+0,+4476.41,+4476.41,+0
2021-12-25 00:39:00 UTC,+4473.3,+4473.3,+4470.86,+0,+4470.86,+0,+4470.86,+4470.86,+4470.86,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4479.26,+4479.26,+0
2021-12-25 00:40:00 UTC,+4471.94,+4471.94,+4469.49,+4469.49,+4469.49,+0,+0,+4469.49,+4469.49,+0,+4470.1,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4467.67,+4467.67,+0
2021-12-25 00:41:00 UTC,+0,+4464.34,+0,+4461.91,+4461.91,+0,+0,+4461.91,+4461.91,+0,+4473.57,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4471.14,+4471.14,+0
2021-12-25 00:42:00 UTC,+0,+4475.21,+0,+4472.77,+4472.77,+0,+0,+4472.77,+4472.77,+0,+4471.73,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4466.86,+4466.86,+0
2021-12-25 00:43:00 UTC,+0,+4484.38,+0,+4479.49,+4479.49,+0,+0,+4479.49,+4479.49,+0,+4462.71,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4457.85,+4457.85,+0
2021-12-25 00:44:00 UTC,+0,+4475.78,+0,+4473.34,+4473.34,+0,+0,+0,+4473.34,+0,+4463.81,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4458.95,+4458.95,+0
2021-12-25 00:45:00 UTC,+0,+0,+0,+4489.03,+4489.03,+0,+0,+0,+4489.03,+0,+4462.94,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4458.08,+4458.08,+0
2021-12-25 00:46:00 UTC,+0,+0,+0,+4482.64,+4482.64,+0,+0,+0,+4482.64,+0,+4462.36,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4457.51,+4457.51,+0,+0
2021-12-25 00:47:00 UTC,+0,+0,+0,+0,+4472.78,+0,+0,+0,+4472.78,+0,+4461.5,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4456.64,+4456.64,+0,+0
2021-12-25 00:48:00 UTC,+0,+0,+0,+0,+4468.15,+0,+0,+0,+0,+0,+4462.27,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4457.41,+4457.41,+0,+0
2021-12-25 00:49:00 UTC,+0,+0,+4467.32,+0,+4467.32,+0,+0,+0,+0,+0,+4467.83,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4462.97,+4462.97,+0,+0
2021-12-25 00:50:00 UTC,+0,+0,+4467.05,+0,+0,+0,+0,+0,+0,+0,+4464.71,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4459.85,+4459.85,+0,+0
2021-12-25 00:51:00 UTC,+0,+0,+4459.97,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4470,+0,+0,+0
2021-12-25 00:52:00 UTC,+0,+0,+4461.68,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4462.15,+0,+0,+0
2021-12-25 00:53:00 UTC,+0,+0,+4476.24,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4462.61,+0,+0,+0
2021-12-25 00:54:00 UTC,+0,+0,+4477.91,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4457.57,+0,+0,+4457.57
2021-12-25 00:55:00 UTC,+0,+0,+4477.05,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4465.9,+0,+0,+4465.9
2021-12-25 00:56:00 UTC,+0,+0,+4482.22,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4472.78,+0,+0,+4472.78
2021-12-25 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4483.74,+0,+0,+0,+0,+0,+0,+0,+4481.3,+0,+0,+4481.3
2021-12-25 00:58:00 UTC,+0,+0,+0,+4462.76,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4486.03,+0,+0,+0,+0,+0,+0,+0,+4483.58,+0,+0,+4483.58
2021-12-25 00:59:00 UTC,+0,+0,+0,+4463.26,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4470.8,+0,+0,+0,+4470.8,+0,+0,+0,+4470.8,+0,+0,+4470.8
2021-12-25 01:00:00 UTC,+0,+0,+0,+4462.85,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4464.94,+0,+0,+0,+4464.94,+0,+0,+0,+4462.51,+0,+0,+4462.51
2021-12-25 01:01:00 UTC,+0,+0,+0,+4469.65,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4467.62,+0,+0,+0,+4467.62,+0,+0,+0,+4467.62,+0,+0,+0
2021-12-25 01:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4472.21,+0,+0,+0,+4472.21,+0,+0,+0,+4472.21,+0,+0,+0
2021-12-25 01:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4469.57,+0,+0,+0,+4469.57,+0,+0,+0,+4469.57,+0,+0,+0
